season,fixture_id,round,date,status,home_team,home_goals,away_goals,away_team
2024,1180476,Regular Season - 13,2024-06-30T14:00:00+00:00,FT,Atletico-MG,1,1,Atletico Goianiense
2024,1180481,Regular Season - 13,2024-06-30T19:00:00+00:00,FT,Sao Paulo,3,1,Bahia
2024,1180475,Regular Season - 13,2024-06-30T19:00:00+00:00,FT,Gremio,1,0,Fluminense
2024,1180482,Regular Season - 13,2024-06-30T19:00:00+00:00,FT,Fortaleza EC,2,1,Juventude
2024,1180478,Regular Season - 13,2024-06-30T21:30:00+00:00,FT,Flamengo,2,1,Cruzeiro
2024,1180477,Regular Season - 13,2024-06-30T21:30:00+00:00,FT,Vitoria,0,1,Atletico Paranaense
2024,1180484,Regular Season - 13,2024-06-30T21:30:00+00:00,FT,Criciuma,1,1,Internacional
2024,1180480,Regular Season - 13,2024-07-01T23:00:00+00:00,FT,Palmeiras,2,0,Corinthians
2024,1180493,Regular Season - 14,2024-07-03T22:00:00+00:00,FT,Cuiaba,1,2,Botafogo
2024,1180489,Regular Season - 14,2024-07-03T23:00:00+00:00,FT,Vasco DA Gama,2,0,Fortaleza EC
2024,1180494,Regular Season - 14,2024-07-03T23:00:00+00:00,FT,Criciuma,1,0,Cruzeiro
2024,1180492,Regular Season - 14,2024-07-04T00:30:00+00:00,FT,Atletico Paranaense,1,2,Sao Paulo
2024,1180491,Regular Season - 14,2024-07-04T00:30:00+00:00,FT,RB Bragantino,3,1,Atletico Goianiense
2024,1180486,Regular Season - 14,2024-07-04T00:30:00+00:00,FT,Atletico-MG,2,4,Flamengo
2024,1180487,Regular Season - 14,2024-07-04T22:00:00+00:00,FT,Bahia,2,0,Juventude
2024,1180485,Regular Season - 14,2024-07-04T22:00:00+00:00,FT,Gremio,2,2,Palmeiras
2024,1180488,Regular Season - 14,2024-07-04T23:00:00+00:00,FT,Fluminense,1,1,Internacional
2024,1180490,Regular Season - 14,2024-07-04T23:00:00+00:00,FT,Corinthians,3,2,Vitoria
2024,1180501,Regular Season - 15,2024-07-06T23:00:00+00:00,FT,Sao Paulo,2,0,RB Bragantino
2024,1180498,Regular Season - 15,2024-07-06T23:00:00+00:00,FT,Flamengo,1,1,Cuiaba
2024,1180496,Regular Season - 15,2024-07-07T19:00:00+00:00,FT,Cruzeiro,3,0,Corinthians
2024,1180504,Regular Season - 15,2024-07-07T19:00:00+00:00,FT,Juventude,3,0,Gremio
2024,1180502,Regular Season - 15,2024-07-07T19:00:00+00:00,FT,Fortaleza EC,1,0,Fluminense
2024,1180495,Regular Season - 15,2024-07-07T21:00:00+00:00,FT,Internacional,1,2,Vasco DA Gama
2024,1180500,Regular Season - 15,2024-07-07T21:30:00+00:00,FT,Palmeiras,2,0,Bahia
2024,1180497,Regular Season - 15,2024-07-07T21:30:00+00:00,FT,Vitoria,2,1,Criciuma
2024,1180503,Regular Season - 15,2024-07-07T21:30:00+00:00,FT,Atletico Goianiense,1,2,Atletico Paranaense
2024,1180499,Regular Season - 15,2024-07-07T23:30:00+00:00,FT,Botafogo,3,0,Atletico-MG
2024,1180505,Regular Season - 16,2024-07-10T21:30:00+00:00,FT,Gremio,0,2,Cruzeiro
2024,1180509,Regular Season - 16,2024-07-10T22:00:00+00:00,FT,Vasco DA Gama,2,0,Corinthians
2024,1180512,Regular Season - 16,2024-07-10T22:00:00+00:00,FT,Atletico Paranaense,1,3,Bahia
2024,1180510,Regular Season - 16,2024-07-11T22:30:00+00:00,FT,Palmeiras,3,1,Atletico Goianiense
2024,1180508,Regular Season - 16,2024-07-11T23:00:00+00:00,FT,Flamengo,1,2,Fortaleza EC
2024,1180514,Regular Season - 16,2024-07-11T23:00:00+00:00,FT,Criciuma,1,1,Fluminense
2024,1180507,Regular Season - 16,2024-07-12T00:30:00+00:00,FT,Vitoria,0,1,Botafogo
2024,1180506,Regular Season - 16,2024-07-12T00:30:00+00:00,FT,Atletico-MG,2,1,Sao Paulo
2024,1180517,Regular Season - 17,2024-07-13T19:00:00+00:00,FT,Bahia,1,2,Cuiaba
2024,1180516,Regular Season - 17,2024-07-13T19:00:00+00:00,FT,Cruzeiro,2,1,RB Bragantino
2024,1180524,Regular Season - 17,2024-07-16T22:00:00+00:00,FT,Juventude,1,1,Atletico-MG
2024,1180520,Regular Season - 17,2024-07-17T00:00:00+00:00,FT,Corinthians,2,1,Criciuma
2024,1180523,Regular Season - 17,2024-07-17T22:00:00+00:00,FT,Atletico Goianiense,0,1,Vasco DA Gama
2024,1180521,Regular Season - 17,2024-07-17T23:00:00+00:00,FT,Sao Paulo,1,0,Gremio
2024,1180519,Regular Season - 17,2024-07-18T00:30:00+00:00,FT,Botafogo,1,0,Palmeiras
2024,1180522,Regular Season - 17,2024-07-18T00:30:00+00:00,FT,Fortaleza EC,3,1,Vitoria
2024,1180528,Regular Season - 18,2024-07-20T19:00:00+00:00,FT,Flamengo,2,1,Criciuma
2024,1180529,Regular Season - 18,2024-07-20T21:30:00+00:00,FT,Botafogo,1,0,Internacional
2024,1180530,Regular Season - 18,2024-07-21T00:00:00+00:00,FT,Palmeiras,2,0,Cruzeiro
2024,1180525,Regular Season - 18,2024-07-21T14:00:00+00:00,FT,Gremio,2,0,Vitoria
2024,1180527,Regular Season - 18,2024-07-21T19:00:00+00:00,FT,Bahia,0,1,Corinthians
2024,1180526,Regular Season - 18,2024-07-21T19:00:00+00:00,FT,Atletico-MG,2,0,Vasco DA Gama
2024,1180534,Regular Season - 18,2024-07-21T21:30:00+00:00,FT,Juventude,0,0,Sao Paulo
2024,1180532,Regular Season - 18,2024-07-21T21:30:00+00:00,FT,Fortaleza EC,3,1,Atletico Goianiense
2024,1180531,Regular Season - 18,2024-07-21T21:30:00+00:00,FT,RB Bragantino,1,0,Atletico Paranaense
2024,1180533,Regular Season - 18,2024-07-21T23:00:00+00:00,FT,Cuiaba,0,1,Fluminense
2024,1180536,Regular Season - 19,2024-07-24T22:00:00+00:00,FT,Cruzeiro,2,0,Juventude
2024,1180384,Regular Season - 3,2024-07-24T22:00:00+00:00,FT,Criciuma,1,1,Fortaleza EC
